timestamp,R1,R2,R3,R4
2020-01-04 01:00:00+00:00,509575.61199999996,49.22,347.171,456951.6079999999
2020-01-04 02:00:00+00:00,488531.417,23.399,340.1,447582.12899999996
2020-01-04 03:00:00+00:00,489505.152,48.189,361.966,446994.24100000004
2020-01-04 04:00:00+00:00,492403.792,19.496000000000002,356.835,442907.33
2020-01-04 05:00:00+00:00,487881.418,26.430999999999997,356.417,438036.732
2020-01-04 06:00:00+00:00,484295.125,24.093,356.399,439580.895
2020-01-04 07:00:00+00:00,503105.208,50.213,375.559,438867.906
2020-01-04 08:00:00+00:00,448878.80199999997,58.043,363.095,434670.897
2020-01-04 09:00:00+00:00,426141.536,189.031,375.245,427984.57699999993
2020-01-04 10:00:00+00:00,513587.326,588.19,366.614,422608.175
2020-01-04 11:00:00+00:00,544910.267,781.277,379.766,421331.45300000004
2020-01-04 12:00:00+00:00,532816.3929999999,819.781,374.64500000000004,423947.417
2020-01-04 13:00:00+00:00,515394.299,970.1,402.11899999999997,428937.59900000005
2020-01-04 14:00:00+00:00,481359.79199999996,823.066,364.378,431078.082
2020-01-04 15:00:00+00:00,443158.80100000004,604.968,391.386,436201.35400000005
2020-01-04 16:00:00+00:00,410050.287,292.783,375.397,447118.443
2020-01-04 17:00:00+00:00,410813.112,198.27100000000002,370.558,454565.43799999997
2020-01-04 18:00:00+00:00,539701.259,194.998,394.753,451978.3
2020-01-04 19:00:00+00:00,651688.741,278.692,388.492,464127.57
2020-01-04 20:00:00+00:00,640983.7669999999,245.784,371.5,466112.33999999997
2020-01-04 21:00:00+00:00,650740.15,234.547,361.825,463243.844
2020-01-04 22:00:00+00:00,623125.5270000001,103.686,369.947,468164.393
2020-01-04 23:00:00+00:00,1136684.421,131.143,408.06,784039.699
2020-01-05 00:00:00+00:00,895584.778,20.939999999999998,65.087,650512.6969999999
2020-01-05 01:00:00+00:00,290093.26300000004,10.125,33.106,158930.578
2020-01-05 02:00:00+00:00,293297.63800000004,8.286999999999999,31.675,155424.71
2020-01-05 03:00:00+00:00,289903.705,11.631,32.015,154530.618
2020-01-05 04:00:00+00:00,290801.91000000003,11.754999999999999,30.011,156120.777
2020-01-05 05:00:00+00:00,290007.12,7.6579999999999995,30.248,155355.471
2020-01-05 06:00:00+00:00,277782.918,8.165,33.55,153859.21899999998
2020-01-05 07:00:00+00:00,271412.222,8.866,29.879,153775.935
2020-01-05 08:00:00+00:00,214583.195,12.725,30.208,159776.81399999998
2020-01-05 09:00:00+00:00,158249.79,14.837,27.553,155777.595
2020-01-05 10:00:00+00:00,192116.519,31.057000000000002,35.104,154228.58299999998
2020-01-05 11:00:00+00:00,205981.45799999998,35.116,45.232,150065.144
2020-01-05 12:00:00+00:00,206831.41700000002,22.081,76.074,151586.117
2020-01-05 13:00:00+00:00,198649.653,23.984,99.136,154678.28199999998
2020-01-05 14:00:00+00:00,180259.99599999998,32.457,67.235,153589.63199999998
2020-01-05 15:00:00+00:00,172931.33000000002,12.481,75.58,153143.38700000002
2020-01-05 16:00:00+00:00,181302.946,8.102,105.86800000000001,155543.577
2020-01-05 17:00:00+00:00,173637.74,9.872,56.447,163140.92799999999
2020-01-05 18:00:00+00:00,253118.15399999998,7.617,38.046,161621.54200000002
2020-01-05 19:00:00+00:00,327506.534,12.565,46.0,164178.975
2020-01-05 20:00:00+00:00,324046.40300000005,12.189,46.327,157044.157
2020-01-05 21:00:00+00:00,334919.68,48.929,42.104,163692.135
2020-01-05 22:00:00+00:00,324606.887,19.051000000000002,36.316,164249.006
2020-01-05 23:00:00+00:00,589679.67,70.554,399.201,323266.602
2020-01-06 00:00:00+00:00,322881.62399999995,117.0,387.0,194312.20400000003
2020-01-06 01:00:00+00:00,833351.113,76.0,412.044,638350.546
2020-01-06 02:00:00+00:00,820539.9390000001,49.0,404.483,628925.176
2020-01-06 03:00:00+00:00,799579.202,110.012,381.976,625499.05
2020-01-06 04:00:00+00:00,783441.058,43.0,393.958,621764.227
2020-01-06 05:00:00+00:00,789834.838,23.0,395.082,616082.3
2020-01-06 06:00:00+00:00,777523.905,22.0,394.321,619046.7990000001
2020-01-06 07:00:00+00:00,784917.2100000001,53.002,415.606,625528.196
2020-01-06 08:00:00+00:00,666322.2069999999,83.0,400.539,618808.8999999999
2020-01-06 09:00:00+00:00,582216.325,104.217,473.543,615948.598
2020-01-06 10:00:00+00:00,630584.465,206.188,693.59,615582.6979999999
2020-01-06 11:00:00+00:00,633676.3969999999,280.76,757.2470000000001,612989.372
2020-01-06 12:00:00+00:00,633792.817,226.99,693.733,604572.881
2020-01-06 13:00:00+00:00,644751.208,241.673,613.7280000000001,601307.277
2020-01-06 14:00:00+00:00,626611.457,218.39600000000002,612.47,598040.684
2020-01-06 15:00:00+00:00,605213.88,146.089,575.5160000000001,607267.1410000001
2020-01-06 16:00:00+00:00,589841.586,243.285,456.235,608606.5099999999
2020-01-06 17:00:00+00:00,593660.799,148.002,495.71,613509.441
2020-01-06 18:00:00+00:00,768287.5819999999,174.001,392.021,634641.437
2020-01-06 19:00:00+00:00,985730.378,159.0,433.702,666409.9880000001
2020-01-06 20:00:00+00:00,979554.5609999999,117.0,400.097,671421.125
2020-01-06 21:00:00+00:00,999422.296,107.0,397.202,672849.577
2020-01-06 22:00:00+00:00,955367.785,130.0,404.553,672972.494
2020-01-06 23:00:00+00:00,377884.004,90.224,9.077,226172.083
2020-01-07 00:00:00+00:00,314752.03099999996,29.799,7.263,157650.319
2020-01-07 01:00:00+00:00,1012970.2449999999,41.202,429.775,706710.559
2020-01-07 02:00:00+00:00,986786.67,32.55,406.969,694738.767
2020-01-07 03:00:00+00:00,992087.594,39.538,410.473,669300.353
2020-01-07 04:00:00+00:00,985605.75,28.525,411.744,674502.556
2020-01-07 05:00:00+00:00,974360.294,36.294,403.652,669203.119
2020-01-07 06:00:00+00:00,972123.9160000001,35.268,430.536,670680.08
2020-01-07 07:00:00+00:00,1030464.2579999999,34.272999999999996,438.653,675464.649
