start,meterId,duration
2019-05-31T00:00:00.000Z,ZIV0046091703,651
2019-05-30T22:00:00.000Z,CIR0141440120,651
2019-05-30T22:00:00.000Z,CIR0501631594,651
2019-05-31T00:00:00.000Z,ZIV0046090209,651
2019-05-30T22:00:00.000Z,ZIV0046093163,651
2019-05-31T00:00:00.000Z,ZIV0045681955,651
2019-05-31T00:00:00.000Z,CIR0141443322,651
2020-01-12T23:00:00.000Z,SAG0185919918,422
2019-05-30T22:00:00.000Z,CIR0141440048,651
2019-05-29T22:00:00.000Z,ZIV0046095547,652
2020-03-21T01:00:00.000Z,SAG0196250059,354
2019-05-30T22:00:00.000Z,CIR0141689665,651
2019-05-31T00:00:00.000Z,ZIV0046093992,651
2019-05-31T00:00:00.000Z,ZIV0046090361,651
2019-05-31T00:00:00.000Z,CIR0141442750,651
2019-05-29T22:00:00.000Z,CIR0141440130,652
2019-05-31T00:00:00.000Z,ZIV0046091713,651
2019-05-31T00:00:00.000Z,ZIV0046090219,651
2019-06-11T03:00:00.000Z,CIR0141448501,639
2020-04-19T22:00:00.000Z,CIR0141606078,326
2019-05-31T00:00:00.000Z,CIR0141602354,651
2019-05-31T00:00:00.000Z,ZIV0046091097,651
2019-05-29T22:00:00.000Z,CIR0141600534,652
2019-05-31T00:00:00.000Z,CIR0141604618,650
2019-07-31T00:00:00.000Z,CIR0141682046,590
2019-07-31T00:00:00.000Z,CIR0141690427,590
2019-06-11T03:00:00.000Z,CIR0141448479,639
2020-04-19T22:00:00.000Z,CIR0141606100,326
2019-05-31T00:00:00.000Z,CIR0141449173,651
2019-05-31T00:00:00.000Z,ZIV0046091876,651
2019-05-29T22:00:00.000Z,ZIV0046092285,652
2019-06-04T22:00:00.000Z,CIR0141601146,646
2019-05-29T22:00:00.000Z,CIR0141442835,652
2019-05-31T00:00:00.000Z,CIR0141691055,651
2019-05-29T22:00:00.000Z,ZIV0045681748,652
2019-05-30T22:00:00.000Z,CIR0141456081,651
2019-05-31T00:00:00.000Z,CIR0141690437,648
2019-05-30T22:00:00.000Z,CIR0141682056,648
2019-05-29T22:00:00.000Z,CIR0141604608,652
