,R4
0.0,234104
1.0,5394
12.0,4208
2.0,3345
3.0,3090
4.0,3016
11.0,2963
7.0,2933
5.0,2822
6.0,2640
30.0,2633
8.0,2576
27.0,2287
9.0,2199
10.0,2037
31.0,2026
29.0,1788
13.0,1644
14.0,1523
110.0,1437
111.0,1399
15.0,1399
28.0,1322
16.0,1321
18.0,1306
20.0,1284
109.0,1283
17.0,1274
21.0,1245
19.0,1244
112.0,1177
22.0,1168
26.0,1040
108.0,1033
25.0,1025
113.0,1023
24.0,1018
23.0,1010
32.0,912
107.0,868
33.0,826
114.0,820
37.0,798
34.0,793
193.0,791
194.0,787
35.0,767
195.0,760
192.0,734
60.0,730
106.0,730
38.0,729
36.0,712
191.0,705
196.0,701
39.0,686
40.0,663
43.0,650
46.0,625
41.0,622
42.0,611
44.0,595
115.0,589
105.0,588
49.0,582
197.0,570
47.0,567
45.0,563
190.0,557
59.0,556
52.0,547
51.0,547
50.0,540
48.0,537
104.0,515
53.0,499
200.0,495
56.0,484
55.0,483
199.0,474
95.0,469
103.0,462
198.0,461
201.0,461
54.0,460
57.0,444
58.0,435
94.0,432
154.0,423
92.0,419
189.0,418
155.0,411
202.0,407
61.0,407
93.0,403
90.0,403
156.0,392
153.0,390
96.0,389
86.0,386
158.0,383
159.0,375
87.0,374
91.0,374
102.0,370
160.0,370
116.0,368
157.0,361
101.0,357
97.0,355
64.0,352
89.0,349
152.0,336
162.0,333
62.0,333
67.0,332
88.0,330
117.0,330
63.0,328
65.0,325
85.0,325
68.0,325
100.0,321
66.0,320
72.0,315
163.0,314
203.0,313
151.0,313
161.0,313
119.0,311
69.0,311
99.0,307
98.0,306
120.0,302
84.0,299
80.0,293
368.0,293
118.0,292
70.0,292
71.0,290
164.0,288
166.0,285
74.0,280
78.0,278
83.0,274
367.0,271
76.0,270
370.0,269
188.0,268
167.0,268
73.0,267
165.0,262
366.0,262
149.0,261
374.0,258
79.0,257
75.0,257
378.0,253
122.0,251
373.0,250
369.0,249
81.0,248
150.0,247
148.0,246
371.0,244
363.0,242
77.0,242
168.0,241
82.0,241
372.0,240
375.0,239
124.0,238
171.0,236
364.0,236
125.0,236
169.0,235
146.0,235
204.0,233
365.0,233
379.0,233
362.0,231
128.0,229
173.0,226
380.0,225
170.0,225
358.0,225
381.0,224
145.0,224
187.0,223
377.0,223
361.0,222
144.0,222
139.0,221
126.0,221
121.0,219
140.0,219
127.0,218
383.0,217
143.0,216
147.0,216
131.0,215
134.0,215
138.0,214
172.0,213
141.0,213
142.0,210
359.0,208
133.0,207
351.0,207
175.0,207
349.0,206
384.0,205
360.0,203
357.0,203
135.0,202
123.0,202
382.0,201
376.0,200
137.0,199
129.0,198
174.0,196
130.0,194
132.0,193
346.0,193
177.0,193
185.0,190
184.0,189
388.0,188
386.0,188
356.0,187
183.0,186
178.0,185
176.0,185
345.0,183
342.0,182
355.0,182
136.0,182
385.0,180
179.0,179
352.0,176
186.0,175
347.0,173
353.0,172
181.0,170
387.0,168
344.0,166
180.0,164
205.0,163
182.0,156
354.0,155
348.0,155
350.0,155
343.0,145
389.0,140
227.0,137
206.0,136
390.0,136
395.0,135
405.0,135
341.0,135
407.0,132
414.0,131
410.0,131
209.0,129
404.0,127
406.0,127
225.0,127
340.0,123
391.0,122
231.0,122
400.0,121
221.0,120
418.0,120
207.0,119
230.0,119
403.0,119
393.0,119
402.0,118
411.0,118
394.0,117
229.0,117
408.0,117
226.0,117
415.0,116
210.0,115
228.0,115
397.0,115
399.0,114
398.0,114
401.0,112
211.0,112
208.0,111
409.0,111
237.0,110
219.0,110
396.0,108
235.0,108
220.0,107
412.0,106
213.0,105
215.0,105
413.0,104
222.0,104
423.0,103
416.0,103
392.0,103
232.0,102
218.0,102
265.0,101
233.0,101
234.0,99
223.0,98
242.0,97
267.0,97
247.0,96
268.0,95
269.0,94
212.0,94
224.0,93
238.0,93
424.0,93
430.0,92
214.0,92
216.0,91
419.0,91
417.0,90
246.0,90
428.0,90
274.0,88
266.0,87
431.0,87
426.0,86
420.0,86
434.0,85
248.0,85
236.0,85
421.0,84
271.0,84
433.0,84
217.0,84
422.0,83
435.0,83
263.0,82
240.0,82
244.0,82
481.0,81
254.0,81
273.0,81
252.0,81
339.0,81
270.0,81
429.0,81
257.0,81
250.0,80
239.0,80
260.0,80
483.0,80
427.0,80
436.0,79
262.0,79
255.0,78
241.0,78
243.0,77
261.0,77
245.0,77
338.0,77
256.0,77
278.0,76
272.0,76
439.0,75
425.0,75
249.0,75
480.0,73
437.0,73
482.0,73
486.0,73
280.0,73
276.0,73
447.0,72
432.0,72
441.0,72
253.0,70
279.0,70
479.0,68
259.0,67
264.0,66
452.0,65
251.0,65
277.0,64
290.0,63
258.0,63
451.0,63
291.0,61
281.0,61
314.0,61
484.0,60
275.0,60
320.0,60
440.0,60
328.0,59
325.0,59
334.0,59
438.0,59
485.0,59
284.0,59
308.0,57
329.0,57
331.0,56
336.0,56
337.0,56
306.0,56
287.0,56
296.0,55
304.0,55
446.0,55
293.0,55
312.0,55
477.0,55
444.0,55
326.0,55
332.0,54
285.0,54
476.0,53
323.0,53
478.0,53
489.0,53
283.0,53
442.0,53
286.0,52
453.0,52
309.0,52
297.0,52
443.0,51
330.0,51
313.0,51
311.0,51
282.0,50
307.0,50
445.0,50
316.0,50
294.0,50
315.0,49
333.0,49
335.0,48
487.0,48
448.0,48
488.0,47
324.0,47
318.0,46
288.0,45
319.0,45
299.0,45
327.0,45
310.0,45
289.0,44
450.0,44
321.0,44
300.0,43
305.0,43
302.0,43
454.0,43
295.0,42
317.0,42
298.0,41
455.0,40
449.0,40
475.0,39
457.0,37
292.0,37
303.0,37
456.0,36
474.0,35
301.0,34
322.0,33
490.0,33
460.0,29
491.0,28
473.0,28
458.0,28
492.0,24
493.0,23
462.0,19
461.0,17
465.0,16
471.0,16
459.0,16
464.0,15
469.0,14
463.0,13
467.0,12
472.0,12
468.0,12
139296.0,12
504.0,10
499.0,9
