,R1
537.0,29
483.0,29
464.0,29
887.0,29
955.0,29
567.0,29
953.0,29
602.0,28
459.0,28
563.0,28
926.0,28
528.0,28
502.0,28
925.0,28
488.0,28
497.0,28
500.0,28
532.0,28
475.0,28
492.0,28
853.0,28
565.0,28
844.0,27
463.0,27
875.0,27
461.0,27
950.0,27
511.0,27
558.0,27
574.0,27
515.0,27
944.0,27
904.0,27
622.0,27
600.0,27
562.0,27
987.0,26
569.0,26
958.0,26
575.0,26
866.0,26
845.0,26
521.0,26
882.0,26
496.0,26
598.0,26
517.0,26
490.0,26
522.0,26
854.0,26
590.0,26
864.0,26
615.0,26
481.0,26
784.0,26
920.0,25
503.0,25
954.0,25
849.0,25
543.0,25
978.0,25
716.0,25
530.0,25
540.0,25
715.0,25
894.0,25
589.0,25
2368.0,25
865.0,25
596.0,25
946.0,25
661.0,25
592.0,25
899.0,25
873.0,25
547.0,25
548.0,24
808.0,24
858.0,24
924.0,24
881.0,24
489.0,24
850.0,24
915.0,24
629.0,24
838.0,24
948.0,24
504.0,24
518.0,24
879.0,24
829.0,24
594.0,24
984.0,24
934.0,24
965.0,24
836.0,24
551.0,24
585.0,24
477.0,24
485.0,24
639.0,24
897.0,24
599.0,24
939.0,23
2457.0,23
947.0,23
580.0,23
557.0,23
2419.0,23
531.0,23
874.0,23
791.0,23
979.0,23
907.0,23
495.0,23
969.0,23
527.0,23
870.0,23
972.0,23
572.0,23
491.0,23
883.0,23
536.0,23
916.0,23
898.0,23
848.0,23
893.0,23
1010.0,23
631.0,23
524.0,23
611.0,23
535.0,23
943.0,23
827.0,23
710.0,23
630.0,22
923.0,22
586.0,22
918.0,22
560.0,22
561.0,22
797.0,22
981.0,22
542.0,22
689.0,22
576.0,22
892.0,22
648.0,22
810.0,22
856.0,22
832.0,22
520.0,22
719.0,22
842.0,22
825.0,22
538.0,22
783.0,22
550.0,22
913.0,22
635.0,22
872.0,22
753.0,22
2463.0,22
655.0,22
957.0,22
577.0,22
638.0,22
967.0,22
516.0,22
997.0,22
901.0,21
889.0,21
804.0,21
583.0,21
632.0,21
690.0,21
806.0,21
813.0,21
730.0,21
493.0,21
837.0,21
927.0,21
725.0,21
902.0,21
798.0,21
930.0,21
534.0,21
603.0,21
1070.0,21
2873.0,21
787.0,21
951.0,21
994.0,21
618.0,21
936.0,21
539.0,21
886.0,21
2595.0,21
718.0,21
525.0,21
738.0,21
609.0,21
733.0,21
555.0,21
624.0,21
707.0,21
587.0,21
2670.0,21
908.0,21
