status_code,t,status,l
2,2019-01-24T01:40:51.000Z,Registered,2019-01-24T22:35:48.677Z
1,2019-01-24T01:40:51.000Z,TF,2019-01-25T00:36:44.422Z
2,2019-01-24T01:40:51.000Z,Registered,2019-01-25T07:36:43.613Z
1,2019-01-25T05:12:08.000Z,TF,2019-01-25T10:36:08.710Z
1,2019-01-25T05:12:08.000Z,TF,2019-01-25T19:36:12.726Z
2,2019-01-25T05:12:08.000Z,Registered,2019-01-25T23:39:59.454Z
2,2019-01-25T05:12:08.000Z,Registered,2019-01-25T17:36:24.760Z
1,2019-01-25T23:39:48.000Z,TF,2019-01-25T23:39:48.000Z
2,2019-01-26T00:43:03.000Z,Registered,2019-01-26T08:36:03.333Z
1,2019-01-26T03:21:25.000Z,TF,2019-01-26T10:35:59.760Z
2,2019-01-26T03:21:25.000Z,Registered,2019-01-26T14:36:04.687Z
1,2019-01-26T03:21:25.000Z,TF,2019-01-26T03:21:25.000Z
2,2019-01-26T03:21:25.000Z,Registered,2019-01-27T15:36:35.887Z
1,2019-01-29T02:43:05.000Z,TF,2019-01-29T19:36:40.868Z
2,2019-01-29T02:43:05.000Z,Registered,2019-01-29T02:43:05.000Z
1,2019-01-29T02:43:05.000Z,TF,2019-01-30T01:50:01.964Z
2,2019-01-30T01:49:30.000Z,Registered,2019-01-30T03:42:17.472Z
1,2019-01-30T03:16:24.000Z,TF,2019-01-30T03:16:24.000Z
2,2019-01-30T04:12:28.000Z,Registered,2019-01-31T10:36:00.267Z
2,2019-01-30T04:12:28.000Z,Registered,2019-01-30T06:37:06.492Z
1,2019-01-30T04:12:28.000Z,TF,2019-01-30T09:37:53.161Z
1,2019-01-31T02:30:03.000Z,TF,2019-01-31T02:30:03.000Z
2,2019-01-31T02:30:03.000Z,Registered,2019-01-31T13:36:28.964Z
1,2019-01-31T02:30:03.000Z,TF,2019-01-31T18:36:06.156Z
2,2019-01-31T18:39:48.000Z,Registered,2019-01-31T18:39:48.000Z
1,2019-01-31T18:52:56.000Z,TF,2019-02-01T01:43:15.574Z
2,2019-02-01T00:47:24.000Z,Registered,2019-02-01T06:36:25.349Z
2,2019-02-01T05:22:49.000Z,Registered,2019-02-01T13:37:14.798Z
1,2019-02-01T05:22:49.000Z,TF,2019-02-01T18:36:14.772Z
2,2019-02-01T05:22:49.000Z,Registered,2019-02-01T05:22:49.000Z
1,2019-02-01T05:22:49.000Z,TF,2019-02-02T00:39:43.692Z
1,2019-02-01T05:22:49.000Z,TF,2019-02-01T09:36:46.830Z
2,2019-02-02T00:37:36.000Z,Registered,2019-02-02T08:36:14.453Z
1,2019-02-02T01:38:48.000Z,TF,2019-02-02T16:36:40.265Z
2,2019-02-02T01:38:48.000Z,Registered,2019-02-02T01:38:48.000Z
1,2019-02-02T01:38:48.000Z,TF,2019-02-03T01:41:37.767Z
2,2019-02-02T01:38:48.000Z,Registered,2019-02-02T14:36:30.806Z
1,2019-02-02T01:38:48.000Z,TF,2019-02-02T01:38:48.000Z
2,2019-02-03T01:40:41.000Z,Registered,2019-02-03T10:36:06.313Z
2,2019-02-03T02:29:03.000Z,Registered,2019-02-03T15:37:11.863Z
1,2019-02-03T02:29:03.000Z,TF,2019-02-04T01:44:51.365Z
1,2019-02-03T02:29:03.000Z,TF,2019-02-03T02:29:03.000Z
1,2019-02-04T01:05:54.000Z,TF,2019-02-04T09:45:57.392Z
1,2019-02-04T01:05:54.000Z,TF,2019-02-05T00:51:51.253Z
2,2019-02-04T01:05:54.000Z,Registered,2019-02-04T06:37:51.479Z
2,2019-02-04T01:05:54.000Z,Registered,2019-02-04T13:45:51.145Z
2,2019-02-05T00:45:05.000Z,Registered,2019-02-05T06:45:57.463Z
2,2019-02-05T01:13:21.000Z,Registered,2019-02-05T10:46:33.760Z
1,2019-02-05T01:13:21.000Z,TF,2019-02-05T08:45:59.602Z
1,2019-02-05T01:13:21.000Z,TF,2019-02-06T02:52:37.089Z
2,2019-02-06T02:51:33.000Z,Registered,2019-02-06T06:46:05.843Z
2,2019-02-06T03:38:01.000Z,Registered,2019-02-06T03:38:01.000Z
1,2019-02-06T03:38:01.000Z,TF,2019-02-06T13:45:48.743Z
1,2019-02-06T03:38:01.000Z,TF,2019-02-06T03:38:01.000Z
1,2019-02-06T03:38:01.000Z,TF,2019-02-07T00:53:51.284Z
2,2019-02-06T03:38:01.000Z,Registered,2019-02-07T06:46:25.544Z
1,2019-02-06T03:38:01.000Z,TF,2019-02-06T18:47:38.237Z
1,2019-02-07T01:39:22.000Z,TF,2019-02-07T01:39:22.000Z
2,2019-02-07T01:39:22.000Z,Registered,2019-02-07T01:39:22.000Z
1,2019-02-07T09:34:24.000Z,TF,2019-02-08T00:54:46.153Z
2,2019-02-07T09:34:24.000Z,Registered,2019-02-08T07:45:42.862Z
2,2019-02-07T09:34:24.000Z,Registered,2019-02-07T12:46:07.957Z
2,2019-02-08T02:46:55.000Z,Registered,2019-02-08T11:45:40.341Z
1,2019-02-08T02:46:55.000Z,TF,2019-02-08T02:46:55.000Z
2,2019-02-08T02:46:55.000Z,Registered,2019-02-08T02:46:55.000Z
1,2019-02-08T02:46:55.000Z,TF,2019-02-08T18:47:20.494Z
