sep=,
timestamp,R1,R2,R3,R4,meter_id,R1_limit,R2_limit,R3_limit,R4_limit
2020-01-01 14:00:00+00:00,1149.0,0.0,0.0,0.0,ZIV0046093205,967.2615883652653,24.18803132632158,14.888747892922257,773.6924302035534
2020-01-03 17:00:00+00:00,1149.0,0.0,0.0,0.0,ZIV0046093205,1136.0608073412545,3.8711629748364254,11.718146896432174,1387.1244072467355
2020-01-19 13:00:00+00:00,916.0,0.0,0.0,0.0,ZIV0046093205,895.8259130467183,20.588165853570164,27.08127999746714,992.2195957893413
2020-01-19 14:00:00+00:00,1129.0,0.0,0.0,0.0,ZIV0046093205,931.7932485631534,23.88200223571923,25.999260063427776,1005.4547160195151
2020-01-19 15:00:00+00:00,1617.0,0.0,0.0,0.0,ZIV0046093205,901.6155790813466,17.507783512027455,25.801615363063465,992.5219042478763
2020-01-19 16:00:00+00:00,1522.0,0.0,0.0,0.0,ZIV0046093205,962.7402316340424,8.301428601522717,17.19274298625068,983.4129568349686
2020-01-19 17:00:00+00:00,1246.0,0.0,0.0,0.0,ZIV0046093205,1145.3055755128426,4.850471876774614,16.271837047261382,981.7342724235154
2020-01-25 12:00:00+00:00,1338.0,0.0,0.0,0.0,ZIV0046093205,1184.3524158308644,9.679106075272955,14.980361080377634,978.5530696183794
2020-01-25 13:00:00+00:00,1566.0,0.0,0.0,0.0,ZIV0046093205,1186.2762804499487,22.991136668386172,22.832161515311828,850.5038648519098
2020-01-25 14:00:00+00:00,1517.0,0.0,0.0,0.0,ZIV0046093205,1145.2542468629697,5.7656025099785895,15.508102594956668,899.4404208566344
2020-01-25 15:00:00+00:00,1180.0,0.0,0.0,0.0,ZIV0046093205,1089.9527061223032,6.456508791358283,14.15230151519918,911.7317739835554
2020-01-25 18:00:00+00:00,1215.0,0.0,0.0,0.0,ZIV0046093205,1197.9352409706723,3.374136769925361,14.394324858927359,878.019157118926
2020-02-04 14:00:00+00:00,1314.0,0.0,0.0,0.0,ZIV0046093205,1291.8625682681932,35.46031758030367,9.636862750379116,1533.2499247888877
2020-02-04 15:00:00+00:00,1171.0,0.0,0.0,0.0,ZIV0046093205,1113.8657512868642,37.72339424649165,17.372389216979748,1480.5736862648653
2020-02-04 16:00:00+00:00,1273.0,0.0,0.0,0.0,ZIV0046093205,1155.2452650948394,39.255781566796,19.004661735194247,1409.413845899644
2020-02-04 18:00:00+00:00,1466.0,0.0,0.0,0.0,ZIV0046093205,1442.6284460777501,8.118178018058382,3.31302334227855,1434.349227586465
2020-02-06 15:00:00+00:00,1037.0,0.0,0.0,0.0,ZIV0046093205,984.4881198390001,17.74347888715383,23.447556837972613,1265.526752954253
2020-02-09 13:00:00+00:00,1030.0,0.0,0.0,0.0,ZIV0046093205,1001.4974018625359,5.593963462706351,27.231231604517557,1020.1165712262997
2020-02-09 18:00:00+00:00,1245.0,0.0,0.0,0.0,ZIV0046093205,1237.6647560951362,7.168196217472149,18.38044126770543,838.7649638217548
2020-02-11 16:00:00+00:00,1097.0,0.0,0.0,0.0,ZIV0046093205,1073.741217657669,30.894742594662578,25.685323216644353,1451.024957439692
2020-02-11 18:00:00+00:00,1427.0,0.0,0.0,0.0,ZIV0046093205,1227.7698926273051,0.8377313472804224,14.460341485180722,1364.0225795040449
2020-02-13 13:00:00+00:00,1431.0,0.0,0.0,0.0,ZIV0046093205,1287.3539465619453,35.02553384529986,17.547200930829824,1329.4971416809246
2020-02-16 12:00:00+00:00,1150.0,0.0,0.0,0.0,ZIV0046093205,1113.5805162035335,36.47732976674743,25.650885507685715,976.7532179768208
2020-02-16 13:00:00+00:00,1230.0,0.0,0.0,0.0,ZIV0046093205,1087.414761987203,37.847895742989095,25.207448918397592,910.9294178738136
2020-02-16 14:00:00+00:00,1290.0,0.0,0.0,0.0,ZIV0046093205,1032.3895417868202,28.752207609431096,25.243614202908578,910.9730478538346
2020-02-18 14:00:00+00:00,1284.0,0.0,0.0,0.0,ZIV0046093205,1130.1236787414607,23.023815845731676,25.307569724688104,1111.2799704645383
2020-02-18 16:00:00+00:00,1113.0,0.0,0.0,0.0,ZIV0046093205,1065.920956200517,33.32933650007529,23.1166396040816,1062.3988584238232
2020-02-22 13:00:00+00:00,1334.0,0.0,0.0,0.0,ZIV0046093205,1210.9994527290223,36.891593067966205,515.4637280213465,879.2348651764678
2020-02-23 12:00:00+00:00,1007.0,0.0,0.0,0.0,ZIV0046093205,960.1687267613576,21.421138886106302,550.3913890451371,1088.718227153746
2020-02-25 14:00:00+00:00,1221.0,0.0,0.0,0.0,ZIV0046093205,1146.0600274692595,38.16823720290458,33.895979662670946,1271.452555319797
2020-02-25 15:00:00+00:00,1371.0,0.0,0.0,0.0,ZIV0046093205,1109.870209406899,23.607995722863,24.77933367012795,1149.4666898945488
2020-02-25 16:00:00+00:00,1176.0,0.0,0.0,0.0,ZIV0046093205,1095.2179298145484,24.31269200613577,23.461622547229016,1144.7234391761851
2020-02-27 12:00:00+00:00,1578.0,0.0,0.0,0.0,ZIV0046093205,1227.8456804558868,3.6278471636236285,17.466970268811856,1496.3160137664256
2020-02-28 12:00:00+00:00,1147.0,0.0,0.0,0.0,ZIV0046093205,1089.2371690365594,25.272800924572145,27.851788145252694,1052.284557392316
2020-02-28 13:00:00+00:00,1244.0,0.0,0.0,0.0,ZIV0046093205,1142.0521947526886,38.04142923667833,27.1851556065282,1056.714322916616
2020-02-29 09:00:00+00:00,984.0,0.0,0.0,0.0,ZIV0046093205,958.1170552279328,4.232133294946447,1.9633130762133177,1131.4597391650937
