timestamp,R1,R2,R3,R4
2020-01-04 00:00:00+00:00,576082.631,71.0,341.0,351663.0
2020-01-04 01:00:00+00:00,509575.61199999996,49.22,347.171,456890.608
2020-01-04 02:00:00+00:00,488531.41699999996,23.399,340.1,447525.12899999996
2020-01-04 03:00:00+00:00,489505.152,48.189,361.966,446941.24100000004
2020-01-04 04:00:00+00:00,492403.792,19.496000000000002,356.83500000000004,442851.33
2020-01-04 05:00:00+00:00,487881.418,26.430999999999997,356.417,438003.73199999996
2020-01-04 06:00:00+00:00,484295.125,24.093,356.399,439522.895
2020-01-04 07:00:00+00:00,503105.208,50.213,375.559,438808.906
2020-01-04 08:00:00+00:00,448878.80199999997,58.043,363.09499999999997,434620.897
2020-01-04 09:00:00+00:00,426141.536,189.031,375.24500000000006,427926.5769999999
2020-01-04 10:00:00+00:00,513508.326,588.1899999999999,366.614,422588.175
2020-01-04 11:00:00+00:00,544769.267,781.277,379.766,421319.4529999999
2020-01-04 12:00:00+00:00,532745.393,819.781,374.64500000000004,423912.417
2020-01-04 13:00:00+00:00,515394.299,970.1,402.119,428888.59900000005
2020-01-04 14:00:00+00:00,481359.7920000001,823.066,364.378,431024.082
2020-01-04 15:00:00+00:00,443158.80100000004,604.9680000000001,391.386,436154.35400000005
2020-01-04 16:00:00+00:00,410050.28699999995,292.78299999999996,375.39699999999993,447073.443
2020-01-04 17:00:00+00:00,410813.112,198.271,370.558,454512.438
2020-01-04 18:00:00+00:00,539701.2590000001,194.998,394.753,451924.29999999993
2020-01-04 19:00:00+00:00,651688.7409999999,278.692,388.492,464068.57
2020-01-04 20:00:00+00:00,640983.767,245.78400000000002,371.5,466055.33999999997
2020-01-04 21:00:00+00:00,650740.1499999999,234.547,361.825,463190.84400000004
2020-01-04 22:00:00+00:00,623125.527,103.686,369.947,468100.3929999999
2020-01-04 23:00:00+00:00,1136901.421,131.143,408.05999999999995,783959.699
2020-01-05 00:00:00+00:00,895857.778,20.94,65.087,650415.6969999999
2020-01-05 01:00:00+00:00,290093.26300000004,10.125,33.106,158930.57799999998
2020-01-05 02:00:00+00:00,293297.63800000004,8.286999999999999,31.675,155424.71000000002
2020-01-05 03:00:00+00:00,289903.70499999996,11.631,32.015,154530.61800000002
2020-01-05 04:00:00+00:00,290801.91000000003,11.754999999999999,30.011,156120.777
2020-01-05 05:00:00+00:00,290007.12,7.658,30.248,155355.47100000002
2020-01-05 06:00:00+00:00,277782.918,8.165,33.55,153859.219
